id	Ajap1	Ajap10	Ajap100	Ajap101	Ajap102	Ajap103	Ajap104	Ajap105	Ajap106	Ajap107	Ajap108	Ajap11	Ajap12	Ajap14	Ajap15	Ajap16	Ajap17	Ajap18	Ajap2	Ajap20	Ajap21	Ajap22	Ajap23	Ajap24	Ajap25	Ajap26	Ajap27	Ajap28	Ajap29	Ajap3	Ajap30	Ajap31	Ajap32	Ajap33	Ajap34	Ajap35	Ajap36	Ajap37	Ajap38	Ajap39	Ajap40	Ajap41	Ajap42	Ajap43	Ajap44	Ajap45	Ajap46	Ajap49	Ajap5	Ajap50	Ajap51	Ajap52	Ajap53	Ajap54	Ajap55	Ajap56	Ajap57	Ajap58	Ajap59	Ajap60	Ajap61	Ajap63	Ajap64	Ajap65	Ajap66	Ajap67	Ajap68	Ajap69	Ajap70	Ajap72	Ajap73	Ajap74	Ajap75	Ajap77	Ajap78	Ajap8	Ajap80	Ajap81	Ajap82	Ajap83	Ajap84	Ajap85	Ajap86	Ajap89	Ajap9	Ajap90	Ajap91	Ajap92	Ajap93	Ajap94	Ajap95	Ajap96	Ajap97	Ajap98	Ajap99
34	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	na	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	na	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A
35	na	na	A:B	A:A	na	na	na	na	A:B	A:A	na	A:A	A:A	na	A:A	A:B	A:A	A:A	na	A:B	na	A:A	A:B	na	A:A	A:B	A:A	A:A	A:A	A:A	A:A	na	na	A:A	A:B	na	na	A:B	na	A:A	A:B	A:A	A:A	na	A:A	A:B	A:A	A:A	na	A:A	A:A	na	na	A:B	A:A	A:A	A:A	na	A:B	na	A:B	A:A	na	na	A:A	na	na	na	A:B	A:A	na	A:A	na	A:B	na	na	A:B	na	A:A	A:A	na	na	A:B	A:A	na	na	na	A:A	na	A:A	A:A	A:B	A:A	na	A:B
36	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	na	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	na	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	na	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A
37	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B
38	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	na	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:B
39	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A
40	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	na	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B
41	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	na	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:A	na	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B
42	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	na	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A
43	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	na	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	na	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A
44	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	na	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	na	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B
45	na	A:A	na	A:A	A:A	A:A	na	A:A	na	na	A:A	A:A	A:A	A:A	A:A	na	A:A	A:A	A:A	na	A:A	A:A	na	na	na	na	A:A	A:A	A:A	A:A	na	A:A	na	A:A	A:A	A:A	na	A:A	na	na	na	A:A	A:A	na	A:A	na	na	A:A	A:A	A:A	A:A	na	A:A	A:A	na	A:A	na	na	A:A	A:A	A:A	A:A	A:A	A:A	na	A:A	na	A:A	na	na	A:A	A:A	na	na	A:A	A:A	na	A:A	A:A	A:A	A:A	A:A	na	A:A	na	A:A	na	A:A	A:A	A:A	A:A	A:A	A:A	na	A:A
46	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	na	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	na	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	na	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B
47	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	na	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A
48	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A
49	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	na	na	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	na	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A
50	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	na	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B
51	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	na	A:B	A:A	A:A	A:B	A:A	A:A	na	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A
52	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A
54	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	na	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	na	na	A:A	A:A	na	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	na	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	na	A:A	A:B	A:A	A:A	A:A
55	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	na	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A
56	A:B	A:A	A:B	A:A	A:B	na	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	na	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B
57	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:B	na	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A
58	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	na	na	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	na	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B
59	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:A
60	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:B
61	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A
62	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	na	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B	A:A	A:A	na	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:A
63	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:B	na	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:A	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:B
64	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B
65	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B
66	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B
67	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B
68	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	na	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:B	A:B
69	A:B	A:B	A:A	A:B	A:A	A:B	A:B	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:B	A:A	A:B	A:A	na	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	na	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:B	A:A	A:B	A:A	A:A	A:B	A:A	A:B	na	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:B	A:B	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:A	A:B	A:A	A:A	A:A	A:A	A:B	A:B	A:B	A:A	A:B	A:B	A:B	A:B	A:A	A:B	A:B	A:B
